% Model:              hppc_creat.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 13 2023, 11:17
% Table:              表格 3 - 全局计算 2
% SOC                    Time (s)                 comp1.pw1(t)*I_1C (A)    Ecell (V)
1                        0                        0                        4.348889411192418
1                        0.1                      0                        4.348889411192417
1                        0.2                      0                        4.348889411192417
1                        0.30000000000000004      0                        4.348889411192416
1                        0.4                      0                        4.348889411192417
1                        0.5                      0                        4.348889411192416
1                        0.6000000000000001       0                        4.348889411192416
1                        0.7000000000000001       0                        4.348889411192416
1                        0.8                      0                        4.348889411192416
1                        0.9                      0                        4.348889411192416
1                        1                        0                        4.348889411192416
1                        1.1                      0                        4.348889411192416
1                        1.2000000000000002       0                        4.348889411192417
1                        1.3                      0                        4.348889411192416
1                        1.4000000000000001       0                        4.348889411192417
1                        1.5                      0                        4.348889411192416
1                        1.6                      0                        4.348889411192416
1                        1.7000000000000002       0                        4.348889411192416
1                        1.8                      0                        4.348889411192416
1                        1.9000000000000001       0                        4.348889411192416
1                        2                        13.55                    4.323429224634274
1                        2.1                      27.1                     4.298448194406161
1                        2.2                      27.1                     4.297326853182768
1                        2.3000000000000003       27.1                     4.2965393728744266
1                        2.4000000000000004       27.1                     4.295875081197044
1                        2.5                      27.1                     4.295287882073621
1                        2.6                      27.1                     4.294753646010933
1                        2.7                      27.1                     4.2942584374426325
1                        2.8000000000000003       27.1                     4.293793502316389
1                        2.9000000000000004       27.1                     4.293345835792854
1                        3                        27.1                     4.292918215244826
1                        3.1                      27.1                     4.292509159717829
1                        3.2                      27.1                     4.2921163515275
1                        3.3000000000000003       27.1                     4.2917376395478675
1                        3.4000000000000004       27.1                     4.291371245213338
1                        3.5                      27.1                     4.29101573823863
1                        3.6                      27.1                     4.290669965793175
1                        3.7                      27.1                     4.290332986850098
1                        3.8000000000000003       27.1                     4.290004021588184
1                        3.9000000000000004       27.1                     4.289682414357683
1                        4                        27.1                     4.289367606757037
1                        4.1000000000000005       27.1                     4.289059117840767
1                        4.2                      27.1                     4.288756529312346
1                        4.3                      27.1                     4.2884594742389766
1                        4.4                      27.1                     4.288167628299261
1                        4.5                      27.1                     4.287880702889838
1                        4.6000000000000005       27.1                     4.287598439621843
1                        4.7                      27.1                     4.287320605874145
1                        4.800000000000001        27.1                     4.287046991163647
1                        4.9                      27.1                     4.28677740415455
1                        5                        27.1                     4.28651167017267
1                        5.1000000000000005       27.1                     4.286249629124647
1                        5.2                      27.1                     4.285991133743618
1                        5.300000000000001        27.1                     4.285736048100618
1                        5.4                      27.1                     4.2854842463346845
1                        5.5                      27.1                     4.285235611561783
1                        5.6000000000000005       27.1                     4.2849900349331325
1                        5.7                      27.1                     4.284747414820499
1                        5.800000000000001        27.1                     4.284507656106388
1                        5.9                      27.1                     4.284270669563238
1                        6                        27.1                     4.284036371308394
1                        6.1000000000000005       27.1                     4.283804682323775
1                        6.2                      27.1                     4.283575528031055
1                        6.300000000000001        27.1                     4.2833488379147004
1                        6.4                      27.1                     4.283124545186341
1                        6.5                      27.1                     4.282902586485058
1                        6.6000000000000005       27.1                     4.282682901608962
1                        6.7                      27.1                     4.282465433274109
1                        6.800000000000001        27.1                     4.282250126897391
1                        6.9                      27.1                     4.282036930400547
1                        7                        27.1                     4.2818257940327875
1                        7.1000000000000005       27.1                     4.281616670211014
1                        7.2                      27.1                     4.281409513373408
1                        7.300000000000001        27.1                     4.281204279843059
1                        7.4                      27.1                     4.281000927707985
1                        7.5                      27.1                     4.280799416710321
1                        7.6000000000000005       27.1                     4.280599708144426
1                        7.7                      27.1                     4.280401764763245
1                        7.800000000000001        27.1                     4.280205550692174
1                        7.9                      27.1                     4.2800110313496935
1                        8                        27.1                     4.279818173374142
1                        8.1                      27.1                     4.279626944556065
1                        8.200000000000001        27.1                     4.279437313775571
1                        8.3                      27.1                     4.2792492509442965
1                        8.4                      27.1                     4.27906272695152
1                        8.5                      27.1                     4.278877713614085
1                        8.6                      27.1                     4.278694183629778
1                        8.700000000000001        27.1                     4.2785121105339075
1                        8.8                      27.1                     4.278331468658754
1                        8.9                      27.1                     4.278152233095724
1                        9                        27.1                     4.277974379659924
1                        9.1                      27.1                     4.277797884857013
1                        9.200000000000001        27.1                     4.2776227258521216
1                        9.3                      27.1                     4.277448880442373
1                        9.4                      27.1                     4.27727632702676
1                        9.5                      27.1                     4.277105044580484
1                        9.600000000000001        27.1                     4.276935012631576
1                        9.700000000000001        27.1                     4.276766211238193
1                        9.8                      27.1                     4.276598620967104
1                        9.9                      27.1                     4.276432222873357
1                        10                       13.55                    4.298555438767902
1                        10.100000000000001       0                        4.325499651539967
1                        10.200000000000001       0                        4.326470659599037
1                        10.3                     0                        4.327108236604002
1                        10.4                     0                        4.327623069491364
1                        10.5                     0                        4.328061355333336
1                        10.600000000000001       0                        4.328447302294535
1                        10.700000000000001       0                        4.328794902678611
1                        10.8                     0                        4.329112949916936
1                        10.9                     0                        4.3294073542567
1                        11                       0                        4.329688039613161
1                        11.100000000000001       0                        4.32995260636306
1                        11.200000000000001       0                        4.330202067953189
1                        11.3                     0                        4.330438181992617
1                        11.4                     0                        4.330662637283515
1                        11.5                     0                        4.330876864640604
1                        11.600000000000001       0                        4.331082037089542
1                        11.700000000000001       0                        4.331279114726145
1                        11.8                     0                        4.331468890818735
1                        11.9                     0                        4.3316520290621865
1                        12                       -13.55000000019718       4.356804649452279
1                        12.100000000000001       -27.1                    4.381759085770501
1                        12.200000000000001       -27.1                    4.383080374525602
1                        12.3                     -27.1                    4.3840680734899475
1                        12.4                     -27.1                    4.384928766571414
1                        12.5                     -27.1                    4.38570794828486
1                        12.600000000000001       -27.1                    4.386429730892742
1                        12.700000000000001       -27.1                    4.387108212781443
1                        12.8                     -27.1                    4.3877523558529345
1                        12.9                     -27.1                    4.388368252085353
1                        13                       -27.1                    4.388967446843442
1                        13.100000000000001       -27.1                    4.389546641919996
1                        13.200000000000001       -27.1                    4.390106658565476
1                        13.3                     -27.1                    4.390649293191026
1                        13.4                     -27.1                    4.3911763437501
1                        13.5                     -27.1                    4.391689366829505
1                        13.600000000000001       -27.1                    4.3921896603729484
1                        13.700000000000001       -27.1                    4.39267830334171
1                        13.8                     -27.1                    4.393156200667318
1                        13.9                     -27.1                    4.393624120686634
1                        14                       -27.1                    4.394082723811709
